alpha,cache_miss
0.0,1608
0.004,1017
0.008,841
0.012,825
0.016,826
0.02,831
0.024,1014
0.028,1016
0.032,1015
0.036,1018
0.04,1403
0.044,1404
0.048,1404
0.052,1404
0.056,1404
0.06,1404
0.064,1404
0.068,1404
0.072,1404
0.076,1404
0.08,1404
0.084,1404
0.088,1404
0.092,1404
0.096,1404
0.1,1404
0.104,1404
0.108,1403
0.112,1208
0.116,1208
0.12,1207
0.124,1207
0.128,1207
0.132,1207
0.136,1207
0.14,1207
0.144,1207
0.148,1207
0.152,1207
0.156,1207
0.16,1207
0.164,1207
0.168,1207
0.172,1207
0.176,1207
0.18,1207
0.184,1207
0.188,1207
0.192,1207
0.196,1207
0.2,1207
0.204,1207
0.208,1207
0.212,1207
0.216,1209
0.22,1209
0.224,1405
0.228,1405
0.232,1405
0.236,1405
0.24,1406
0.244,1406
0.248,1406
0.252,1406
0.256,1406
0.26,1602
0.264,1604
0.268,1603
0.272,1406
0.276,1406
0.28,1406
0.284,1406
0.288,1406
0.292,1406
0.296,1406
0.3,1406
0.304,1406
0.308,1406
0.312,1406
0.316,1406
0.32,1604
0.324,1605
0.328,1605
0.332,1605
0.336,1605
0.34,1605
0.344,1605
0.348,1605
0.352,1605
0.356,1605
0.36,1605
0.364,1605
0.368,1607
0.372,1607
0.376,1607
0.38,1607
0.384,1607
0.388,1607
0.392,1607
0.396,1607
0.4,1606
0.404,1606
0.408,1606
0.412,1606
0.416,1606
0.42,1606
0.424,1606
0.428,1606
0.432,1606
0.436,1606
0.44,1606
0.444,1606
0.448,1606
0.452,1606
0.456,1606
0.46,1606
0.464,1606
0.468,1606
0.472,1606
0.476,1606
0.48,1606
0.484,1606
0.488,1606
0.492,1606
0.496,1606
0.5,1606
0.504,1606
0.508,1606
0.512,1507
0.516,1506
0.52,1506
0.524,1506
0.528,1506
0.532,1506
0.536,1506
0.54,1506
0.544,1506
0.548,1506
0.552,1506
0.556,1506
0.56,1506
0.564,1506
0.568,1506
0.572,1506
0.576,1506
0.58,1506
0.584,1506
0.588,1506
0.592,1506
0.596,1506
0.6,1506
0.604,1506
0.608,1506
0.612,1505
0.616,1209
0.62,1209
0.624,1209
0.628,1209
0.632,1209
0.636,1209
0.64,1209
0.644,1209
0.648,1209
0.652,1209
0.656,1209
0.66,1209
0.664,1209
0.668,1209
0.672,1209
0.676,1209
0.68,1209
0.684,1209
0.688,1209
0.692,1209
0.696,1209
0.7,1209
0.704,1209
0.708,1209
0.712,1209
0.716,1209
0.72,1209
0.724,1209
0.728,1209
0.732,1209
0.736,1209
0.74,1209
0.744,1607
0.748,1607
0.752,1607
0.756,1607
0.76,1607
0.764,1607
0.768,1607
0.772,1607
0.776,1607
0.78,1607
0.784,1607
0.788,1607
0.792,1607
0.796,1607
